tanggal,jam_berangkat,asal,tujuan,jarak_km,durasi_api_menit,cuaca,suhu,kelembapan,jenis_kendaraan,durasi_asli_menit
2026-06-21,18:20,Tangerang,SCBD,8.6,37.6,berawan,28.2,75,mobil,55.5
2026-06-24,19:30,Jakarta Selatan,Sudirman,13.0,55.2,berawan,29.3,59,mobil,62.7
2026-06-27,20:45,Jakarta Timur,Kemang,27.1,95.7,berawan,25.9,85,mobil,111.7
2026-06-30,06:00,Depok,SCBD,27.6,96.0,berawan,32.2,70,mobil,131.4
2026-01-03,07:10,Bogor,Sudirman,16.5,64.5,hujan,30.9,80,mobil,106.7
2026-01-06,08:15,Bekasi,Kemang,19.6,69.5,hujan,32.2,91,mobil,107.8
2026-01-09,09:20,Tangerang,SCBD,7.8,35.0,hujan,28.0,87,mobil,49.5
2026-01-12,10:30,Jakarta Selatan,Sudirman,10.6,40.2,cerah,31.3,78,mobil,42.5
2026-01-15,12:45,Jakarta Timur,Kemang,8.3,34.9,cerah,32.2,68,mobil,36.7
2026-01-18,14:00,Depok,SCBD,19.6,73.9,cerah,25.7,73,mobil,78.5
2026-01-21,16:10,Bogor,Sudirman,8.0,29.9,cerah,27.0,88,mobil,39.2
2026-01-24,17:15,Bekasi,Kemang,25.2,92.2,cerah,30.7,82,mobil,117.4
2026-01-27,18:20,Tangerang,SCBD,3.1,20.1,cerah,31.2,64,mobil,27.3
2026-01-30,19:30,Jakarta Selatan,Sudirman,20.4,75.2,cerah,29.5,65,mobil,81.1
2026-02-02,20:45,Jakarta Timur,Kemang,19.7,77.6,cerah,29.8,86,mobil,84.1
2026-02-05,06:00,Depok,SCBD,15.6,62.5,cerah,29.4,68,mobil,81.1
2026-02-08,07:10,Bogor,Sudirman,9.2,39.4,berawan,31.1,91,mobil,54.0
2026-02-11,08:15,Bekasi,Kemang,8.9,35.7,berawan,32.1,63,mobil,48.3
2026-02-14,09:20,Tangerang,SCBD,4.6,22.0,berawan,29.3,84,mobil,24.7
2026-02-17,10:30,Jakarta Selatan,Sudirman,22.2,85.5,berawan,25.2,82,mobil,101.3
2026-02-20,12:45,Jakarta Timur,Kemang,12.7,53.4,hujan,31.7,95,mobil,77.7
2026-02-23,14:00,Depok,SCBD,15.2,56.1,hujan,28.9,90,mobil,77.3
2026-02-26,16:10,Bogor,Sudirman,26.0,98.5,hujan,29.3,83,mobil,153.6
2026-03-01,17:15,Bekasi,Kemang,7.5,24.1,cerah,27.6,87,motor,29.9
2026-03-04,18:20,Tangerang,SCBD,12.5,41.0,cerah,31.7,74,motor,51.5
2026-03-07,19:30,Jakarta Selatan,Sudirman,21.7,57.7,cerah,32.6,72,motor,58.3
2026-03-10,20:45,Jakarta Timur,Kemang,22.5,65.1,cerah,31.0,73,motor,63.9
2026-03-13,06:00,Depok,SCBD,3.5,13.1,cerah,26.0,65,motor,15.0
2026-03-16,07:10,Bogor,Sudirman,20.5,61.2,cerah,26.3,65,motor,75.4
2026-03-19,08:15,Bekasi,Kemang,10.8,35.2,cerah,32.4,82,motor,43.4
2026-03-22,09:20,Tangerang,SCBD,4.9,21.5,cerah,30.0,64,motor,22.3
2026-03-25,10:30,Jakarta Selatan,Sudirman,10.5,35.4,cerah,31.4,60,motor,34.8
2026-03-28,12:45,Jakarta Timur,Kemang,13.7,40.6,berawan,29.0,79,motor,42.4
2026-03-31,14:00,Depok,SCBD,15.3,45.2,berawan,27.9,87,motor,50.4
2026-04-03,16:10,Bogor,Sudirman,21.3,64.9,berawan,27.2,92,motor,88.5
2026-04-06,17:15,Bekasi,Kemang,17.8,50.4,berawan,27.0,63,motor,66.1
2026-04-09,18:20,Tangerang,SCBD,17.2,52.0,hujan,27.7,89,motor,81.3
2026-04-12,19:30,Jakarta Selatan,Sudirman,9.5,29.3,hujan,29.8,94,motor,40.1
2026-04-15,20:45,Jakarta Timur,Kemang,5.1,22.2,hujan,28.9,93,motor,29.3
